Reservoir Inflows and Outflows
"Scenario: GridMet, Reservoir: Lake Wallenpoupack"
Cubic Meter
"Sources and Destinations","Increase in Storage for Lake Wallenpoupack","Inflow from Upstream","Outflow to Downstream"
6/17/2008,0,322029,-322029
6/18/2008,0,561419,-561419
6/19/2008,0,257065,-257065
6/20/2008,0,424981,-424981
6/21/2008,0,243155,-243155
6/22/2008,0,1189040,-1189040
6/23/2008,0,544379,-544379
6/24/2008,0,385263,-385263
6/25/2008,0,273143,-273143
6/26/2008,0,262871,-262871
6/27/2008,0,199778,-199778
6/28/2008,0,250087,-250087
6/29/2008,0,879957,-879957
6/30/2008,0,244242,-244242
7/1/2008,0,274811,-274811
7/2/2008,0,1035338,-1035340
7/3/2008,0,714156,-714156
7/4/2008,0,328847,-328847
7/5/2008,0,275867,-275867
7/6/2008,0,232395,-232395
7/7/2008,0,261026,-261026
7/8/2008,0,201322,-201322
7/9/2008,0,206292,-206292
7/10/2008,0,141911,-141911
7/11/2008,0,126112,-126112
7/12/2008,0,116289,-116289
7/13/2008,0,837090,-837090
7/14/2008,0,228956,-228956
7/15/2008,0,145013,-145013
7/16/2008,0,815783,-815783
7/17/2008,0,439282,-439282
7/18/2008,0,196912,-196912
7/19/2008,0,183032,-183032
7/20/2008,0,410822,-410822
7/21/2008,0,356365,-356365
7/22/2008,0,210415,-210415
7/23/2008,0,5746092,-5746090
7/24/2008,0,1081420,-1081420
7/25/2008,0,761640,-761640
7/26/2008,0,852411,-852411
7/27/2008,0,1151210,-1151210
7/28/2008,0,599136,-599136
7/29/2008,0,468166,-468166
7/30/2008,0,377919,-377919
7/31/2008,0,259864,-259864
8/1/2008,0,180869,-180869
8/2/2008,0,493842,-493842
8/3/2008,0,199349,-199349
8/4/2008,0,145768,-145768
8/5/2008,0,128827,-128827
8/6/2008,0,1333339,-1333340
8/7/2008,0,278003,-278003
8/8/2008,0,445658,-445658
8/9/2008,0,222003,-222003
8/10/2008,0,584315,-584315
8/11/2008,0,1478313,-1478310
8/12/2008,0,504702,-504702
8/13/2008,0,465326,-465326
8/14/2008,0,468026,-468026
8/15/2008,0,583317,-583317
8/16/2008,0,289699,-289699
8/17/2008,0,240156,-240156
8/18/2008,0,196306,-196306
8/19/2008,0,163736,-163736
8/20/2008,0,133029,-133029
8/21/2008,0,117357,-117357
8/22/2008,0,106186,-106186
8/23/2008,0,97928.6,-97928.6
8/24/2008,0,92489.7,-92489.7
8/25/2008,0,696163,-696163
8/26/2008,0,118755,-118755
8/27/2008,0,114671,-114671
8/28/2008,0,113677,-113677
8/29/2008,0,229991,-229991
8/30/2008,0,112451,-112451
8/31/2008,0,107743,-107743
9/1/2008,0,103274,-103274
9/2/2008,0,93996.8,-93996.8
9/3/2008,0,87309.9,-87309.9
9/4/2008,0,82458.8,-82458.8
9/5/2008,0,113814,-113814
9/6/2008,0,1695661,-1695660
9/7/2008,0,168007,-168007
9/8/2008,0,177144,-177144
9/9/2008,0,5357268,-5357270
9/10/2008,0,819652,-819652
9/11/2008,0,938727,-938727
9/12/2008,0,2415974,-2415970
9/13/2008,0,1338599,-1338600
9/14/2008,0,955401,-955401
9/15/2008,0,692816,-692816
9/16/2008,0,531339,-531339
9/17/2008,0,361262,-361262
9/18/2008,0,262700,-262700
9/19/2008,0,203988,-203988
9/20/2008,0,161949,-161949
9/21/2008,0,136172,-136172
9/22/2008,0,119914,-119914
9/23/2008,0,109464,-109464
9/24/2008,0,102342,-102342
9/25/2008,0,209554,-209554
9/26/2008,0,655124,-655124
9/27/2008,0,2772234,-2772230
9/28/2008,0,5202389,-5202390
9/29/2008,0,962277,-962277
9/30/2008,0,2180020,-2180020
10/1/2008,0,1468815,-1468820
10/2/2008,0,1439211,-1439210
10/3/2008,0,1255536,-1255540
10/4/2008,0,1011491,-1011490
10/5/2008,0,765809,-765809
10/6/2008,0,521233,-521233
10/7/2008,0,383917,-383917
10/8/2008,0,299696,-299696
10/9/2008,0,246919,-246919
10/10/2008,0,199215,-199215
10/11/2008,0,173442,-173442
10/12/2008,0,155771,-155771
10/13/2008,0,142820,-142820
10/14/2008,0,133031,-133031
10/15/2008,0,125451,-125451
10/16/2008,0,128536,-128536
10/17/2008,0,115263,-115263
10/18/2008,0,111403,-111403
10/19/2008,0,108170,-108170
10/20/2008,0,105349,-105349
10/21/2008,0,109307,-109307
10/22/2008,0,100803,-100803
10/23/2008,0,98719.3,-98719.3
10/24/2008,0,96768.6,-96768.6
10/25/2008,0,6911704,-6911700
10/26/2008,0,705482,-705482
10/27/2008,0,2903945,-2903940
10/28/2008,0,8332940,-8332940
10/29/2008,0,3606866,-3606870
10/30/2008,0,3541181,-3541180
10/31/2008,0,3385861,-3385860
11/1/2008,0,2499201,-2499200
11/2/2008,0,1596221,-1596220
11/3/2008,0,1103331,-1103330
11/4/2008,0,781866,-781866
11/5/2008,0,699913,-699913
11/6/2008,0,543400,-543400
11/7/2008,0,379635,-379635
11/8/2008,0,387073,-387073
11/9/2008,0,290555,-290555
11/10/2008,0,264918,-264918
11/11/2008,0,926911,-926911
11/12/2008,0,478444,-478444
11/13/2008,0,1222071,-1222070
11/14/2008,0,516545,-516545
11/15/2008,0,2444711,-2444710
11/16/2008,0,868358,-868358
11/17/2008,0,916095,-916095
11/18/2008,0,894415,-894415
11/19/2008,0,827179,-827179
11/20/2008,0,756190,-756190
11/21/2008,0,662969,-662969
11/22/2008,0,589264,-589264
11/23/2008,0,496018,-496018
11/24/2008,0,428304,-428304
11/25/2008,0,453634,-453634
11/26/2008,0,354742,-354742
11/27/2008,0,321927,-321927
11/28/2008,0,296775,-296775
11/29/2008,0,276290,-276290
11/30/2008,0,436515,-436515
12/1/2008,0,853997,-853997
12/2/2008,0,1872941,-1872940
12/3/2008,0,375890,-375890
12/4/2008,0,610137,-610137
12/5/2008,0,388233,-388233
12/6/2008,0,385827,-385827
12/7/2008,0,382568,-382568
12/8/2008,0,375872,-375872
12/9/2008,0,361511,-361511
12/10/2008,0,4391251,-4391250
12/11/2008,0,9903931,-9903930
12/12/2008,0,2426621,-2426620
12/13/2008,0,1622291,-1622290
12/14/2008,0,1558611,-1558610
12/15/2008,0,2608081,-2608080
12/16/2008,0,2495271,-2495270
12/17/2008,0,1503811,-1503810
12/18/2008,0,1179921,-1179920
12/19/2008,0,882714,-882714
12/20/2008,0,691636,-691636
12/21/2008,0,567674,-567674
12/22/2008,0,484393,-484393
12/23/2008,0,421428,-421428
12/24/2008,0,599188,-599188
12/25/2008,0,348145,-348145
12/26/2008,0,320037,-320037
12/27/2008,0,298340,-298340
12/28/2008,0,355542,-355542
12/29/2008,0,268633,-268633
12/30/2008,0,255111,-255111
12/31/2008,0,243748,-243748
1/1/2009,0,233383,-233383
1/2/2009,0,224356,-224356
1/3/2009,0,216027,-216027
1/4/2009,0,208472,-208472
1/5/2009,0,201199,-201199
1/6/2009,0,199023,-199023
1/7/2009,0,188588,-188588
1/8/2009,0,183340,-183340
1/9/2009,0,177557,-177557
1/10/2009,0,172696,-172696
1/11/2009,0,168177,-168177
1/12/2009,0,163922,-163922
1/13/2009,0,159871,-159871
1/14/2009,0,156005,-156005
1/15/2009,0,152431,-152431
1/16/2009,0,149138,-149138
1/17/2009,0,146040,-146040
1/18/2009,0,143032,-143032
1/19/2009,0,140047,-140047
1/20/2009,0,137143,-137143
1/21/2009,0,134392,-134392
1/22/2009,0,131731,-131731
1/23/2009,0,129089,-129089
1/24/2009,0,126491,-126491
1/25/2009,0,124029,-124029
1/26/2009,0,121687,-121687
1/27/2009,0,119397,-119397
1/28/2009,0,117141,-117141
1/29/2009,0,114917,-114917
1/30/2009,0,112754,-112754
1/31/2009,0,110673,-110673
2/1/2009,0,227835,-227835
2/2/2009,0,682598,-682598
2/3/2009,0,457110,-457110
2/4/2009,0,127445,-127445
2/5/2009,0,130159,-130159
2/6/2009,0,132967,-132967
2/7/2009,0,135494,-135494
2/8/2009,0,656665,-656665
2/9/2009,0,1512269,-1512270
2/10/2009,0,2857383,-2857380
2/11/2009,0,5062597,-5062600
2/12/2009,0,6431001,-6431000
2/13/2009,0,4051595,-4051600
2/14/2009,0,1731829,-1731830
2/15/2009,0,1706914,-1706910
2/16/2009,0,1553218,-1553220
2/17/2009,0,1321152,-1321150
2/18/2009,0,1189126,-1189130
2/19/2009,0,828090,-828090
2/20/2009,0,625659,-625659
2/21/2009,0,481782,-481782
2/22/2009,0,1213292,-1213290
2/23/2009,0,392567,-392567
2/24/2009,0,344867,-344867
2/25/2009,0,311383,-311383
2/26/2009,0,2019838,-2019840
2/27/2009,0,6704472,-6704470
2/28/2009,0,7242776,-7242780
3/1/2009,0,1555451,-1555450
3/2/2009,0,1491733,-1491730
3/3/2009,0,1435665,-1435670
3/4/2009,0,1338378,-1338380
3/5/2009,0,1213960,-1213960
3/6/2009,0,3346832,-3346830
3/7/2009,0,5901544,-5901540
3/8/2009,0,9492667,-9492670
3/9/2009,0,6362120,-6362120
3/10/2009,0,2862732,-2862730
3/11/2009,0,2013284,-2013280
3/12/2009,0,1456766,-1456770
3/13/2009,0,1203609,-1203610
3/14/2009,0,981207,-981207
3/15/2009,0,776728,-776728
3/16/2009,0,601149,-601149
3/17/2009,0,478141,-478141
3/18/2009,0,398849,-398849
3/19/2009,0,513037,-513037
3/20/2009,0,338330,-338330
3/21/2009,0,309923,-309923
3/22/2009,0,288415,-288415
3/23/2009,0,271499,-271499
3/24/2009,0,257973,-257973
3/25/2009,0,246307,-246307
3/26/2009,0,554792,-554792
3/27/2009,0,311444,-311444
3/28/2009,0,267030,-267030
3/29/2009,0,1111486,-1111490
3/30/2009,0,333876,-333876
3/31/2009,0,333374,-333374
4/1/2009,0,838574,-838574
4/2/2009,0,363178,-363178
4/3/2009,0,4496318,-4496320
4/4/2009,0,902785,-902785
4/5/2009,0,664111,-664111
4/6/2009,0,1196645,-1196640
4/7/2009,0,668766,-668766
4/8/2009,0,611358,-611358
4/9/2009,0,558939,-558939
4/10/2009,0,644597,-644597
4/11/2009,0,459940,-459940
4/12/2009,0,382142,-382142
4/13/2009,0,333760,-333760
4/14/2009,0,441772,-441772
4/15/2009,0,358194,-358194
4/16/2009,0,268219,-268219
4/17/2009,0,243167,-243167
4/18/2009,0,221340,-221340
4/19/2009,0,203540,-203540
4/20/2009,0,1026907,-1026910
4/21/2009,0,1260050,-1260050
4/22/2009,0,459350,-459350
4/23/2009,0,359623,-359623
4/24/2009,0,345391,-345391
4/25/2009,0,324207,-324207
4/26/2009,0,295627,-295627
4/27/2009,0,265636,-265636
4/28/2009,0,226665,-226665
4/29/2009,0,194725,-194725
4/30/2009,0,179559,-179559
5/1/2009,0,453516,-453516
5/2/2009,0,344203,-344203
5/3/2009,0,230060,-230060
5/4/2009,0,365384,-365384
5/5/2009,0,583127,-583127
5/6/2009,0,982286,-982286
5/7/2009,0,591677,-591677
5/8/2009,0,799660,-799660
5/9/2009,0,796518,-796518
5/10/2009,0,431942,-431942
5/11/2009,0,391271,-391271
5/12/2009,0,346536,-346536
5/13/2009,0,297766,-297766
5/14/2009,0,2200014,-2200010
5/15/2009,0,591307,-591307
5/16/2009,0,3737978,-3737980
5/17/2009,0,1929290,-1929290
5/18/2009,0,1055043,-1055040
5/19/2009,0,945207,-945207
5/20/2009,0,815241,-815241
5/21/2009,0,676569,-676569
5/22/2009,0,500593,-500593
5/23/2009,0,387292,-387292
5/24/2009,0,720394,-720394
5/25/2009,0,310681,-310681
5/26/2009,0,1106222,-1106220
5/27/2009,0,461605,-461605
5/28/2009,0,2164666,-2164670
5/29/2009,0,1878868,-1878870
5/30/2009,0,728800,-728800
5/31/2009,0,671338,-671338
6/1/2009,0,581956,-581956
6/2/2009,0,551007,-551007
6/3/2009,0,1008539,-1008540
6/4/2009,0,498642,-498642
6/5/2009,0,576999,-576999
6/6/2009,0,327848,-327848
6/7/2009,0,291625,-291625
6/8/2009,0,961423,-961423
6/9/2009,0,1858851,-1858850
6/10/2009,0,866568,-866568
6/11/2009,0,2903786,-2903790
6/12/2009,0,929397,-929397
6/13/2009,0,3757290,-3757290
6/14/2009,0,2206827,-2206830
6/15/2009,0,1923474,-1923470
6/16/2009,0,1106351,-1106350
6/17/2009,0,2471658,-2471660
6/18/2009,0,4175426,-4175430
6/19/2009,0,1480092,-1480090
6/20/2009,0,2837070,-2837070
6/21/2009,0,1540637,-1540640
6/22/2009,0,883386,-883386
6/23/2009,0,632670,-632670
6/24/2009,0,523675,-523675
6/25/2009,0,380994,-380994
6/26/2009,0,1570262,-1570260
6/27/2009,0,491122,-491122
6/28/2009,0,362894,-362894
6/29/2009,0,336030,-336030
6/30/2009,0,1161971,-1161970
7/1/2009,0,1249338,-1249340
7/2/2009,0,1479695,-1479700
7/3/2009,0,853851,-853851
7/4/2009,0,513701,-513701
7/5/2009,0,425455,-425455
7/6/2009,0,370893,-370893
7/7/2009,0,607455,-607455
7/8/2009,0,318069,-318069
7/9/2009,0,259995,-259995
7/10/2009,0,217124,-217124
7/11/2009,0,1004639,-1004640
7/12/2009,0,269495,-269495
7/13/2009,0,237182,-237182
7/14/2009,0,213965,-213965
7/15/2009,0,193056,-193056
7/16/2009,0,355376,-355376
7/17/2009,0,753526,-753526
7/18/2009,0,243522,-243522
7/19/2009,0,207200,-207200
7/20/2009,0,184369,-184369
7/21/2009,0,306104,-306104
7/22/2009,0,181852,-181852
7/23/2009,0,240991,-240991
7/24/2009,0,220179,-220179
7/25/2009,0,399631,-399631
7/26/2009,0,223977,-223977
7/27/2009,0,185141,-185141
7/28/2009,0,149746,-149746
7/29/2009,0,4511897,-4511900
7/30/2009,0,1438604,-1438600
7/31/2009,0,4076341,-4076340
8/1/2009,0,1114168,-1114170
8/2/2009,0,5294416,-5294420
8/3/2009,0,1716303,-1716300
8/4/2009,0,1366600,-1366600
8/5/2009,0,1061347,-1061350
8/6/2009,0,679217,-679217
8/7/2009,0,470057,-470057
8/8/2009,0,338183,-338183
8/9/2009,0,1012335,-1012340
8/10/2009,0,1220132,-1220130
8/11/2009,0,479046,-479046
8/12/2009,0,1992967,-1992970
8/13/2009,0,2028794,-2028790
8/14/2009,0,1052441,-1052440
8/15/2009,0,671042,-671042
8/16/2009,0,561910,-561910
8/17/2009,0,439184,-439184
8/18/2009,0,414707,-414707
8/19/2009,0,1067816,-1067820
8/20/2009,0,391436,-391436
8/21/2009,0,2772570,-2772570
8/22/2009,0,2964568,-2964570
8/23/2009,0,1114975,-1114970
8/24/2009,0,786282,-786282
8/25/2009,0,668477,-668477
8/26/2009,0,611100,-611100
8/27/2009,0,459552,-459552
8/28/2009,0,2272200,-2272200
8/29/2009,0,1275088,-1275090
8/30/2009,0,654329,-654329
8/31/2009,0,494105,-494105
9/1/2009,0,399431,-399431
9/2/2009,0,335572,-335572
9/3/2009,0,288218,-288218
9/4/2009,0,252781,-252781
9/5/2009,0,212141,-212141
9/6/2009,0,184570,-184570
9/7/2009,0,167127,-167127
9/8/2009,0,155368,-155368
9/9/2009,0,147003,-147003
9/10/2009,0,140900,-140900
9/11/2009,0,587888,-587888
9/12/2009,0,1113159,-1113160
9/13/2009,0,223578,-223578
9/14/2009,0,226482,-226482
9/15/2009,0,226820,-226820
9/16/2009,0,353844,-353844
9/17/2009,0,1003858,-1003860
9/18/2009,0,402575,-402575
9/19/2009,0,350613,-350613
9/20/2009,0,296997,-296997
9/21/2009,0,256377,-256377
9/22/2009,0,224004,-224004
9/23/2009,0,241055,-241055
9/24/2009,0,183569,-183569
9/25/2009,0,160467,-160467
9/26/2009,0,867249,-867249
9/27/2009,0,1399375,-1399370
9/28/2009,0,523660,-523660
9/29/2009,0,557302,-557302
9/30/2009,0,401953,-401953
10/1/2009,0,392091,-392091
10/2/2009,0,656383,-656383
10/3/2009,0,505489,-505489
10/4/2009,0,387295,-387295
10/5/2009,0,326236,-326236
10/6/2009,0,272570,-272570
10/7/2009,0,430622,-430622
10/8/2009,0,248416,-248416
10/9/2009,0,1299524,-1299520
10/10/2009,0,405417,-405417
10/11/2009,0,345321,-345321
10/12/2009,0,324565,-324565
10/13/2009,0,333901,-333901
10/14/2009,0,294543,-294543
10/15/2009,0,823906,-823906
10/16/2009,0,622238,-622238
10/17/2009,0,793336,-793336
10/18/2009,0,540439,-540439
10/19/2009,0,429875,-429875
10/20/2009,0,390865,-390865
10/21/2009,0,353564,-353564
10/22/2009,0,318334,-318334
10/23/2009,0,1001404,-1001400
10/24/2009,0,6696480,-6696480
10/25/2009,0,1467235,-1467240
10/26/2009,0,1400571,-1400570
10/27/2009,0,3546256,-3546260
10/28/2009,0,7845402,-7845400
10/29/2009,0,2952108,-2952110
10/30/2009,0,2407944,-2407940
10/31/2009,0,2371614,-2371610
11/1/2009,0,1522054,-1522050
11/2/2009,0,1066214,-1066210
11/3/2009,0,820818,-820818
11/4/2009,0,636764,-636764
11/5/2009,0,582095,-582095
11/6/2009,0,424509,-424509
11/7/2009,0,361676,-361676
11/8/2009,0,319109,-319109
11/9/2009,0,286350,-286350
11/10/2009,0,261796,-261796
11/11/2009,0,243323,-243323
11/12/2009,0,229271,-229271
11/13/2009,0,239633,-239633
11/14/2009,0,282515,-282515
11/15/2009,0,207100,-207100
11/16/2009,0,197858,-197858
11/17/2009,0,190174,-190174
11/18/2009,0,183637,-183637
11/19/2009,0,1299014,-1299010
11/20/2009,0,919707,-919707
11/21/2009,0,386642,-386642
11/22/2009,0,413664,-413664
11/23/2009,0,433949,-433949
11/24/2009,0,445584,-445584
11/25/2009,0,589162,-589162
11/26/2009,0,480257,-480257
11/27/2009,0,466570,-466570
11/28/2009,0,386832,-386832
11/29/2009,0,338102,-338102
11/30/2009,0,632303,-632303
12/1/2009,0,342876,-342876
12/2/2009,0,1370564,-1370560
12/3/2009,0,3266644,-3266640
12/4/2009,0,1041424,-1041420
12/5/2009,0,1665594,-1665590
12/6/2009,0,1178534,-1178530
12/7/2009,0,1147314,-1147310
12/8/2009,0,1059184,-1059180
12/9/2009,0,2254254,-2254250
12/10/2009,0,1244754,-1244750
12/11/2009,0,991078,-991078
12/12/2009,0,815434,-815434
12/13/2009,0,675691,-675691
12/14/2009,0,576690,-576690
12/15/2009,0,553122,-553122
12/16/2009,0,448691,-448691
12/17/2009,0,390560,-390560
12/18/2009,0,349924,-349924
12/19/2009,0,319118,-319118
12/20/2009,0,294750,-294750
12/21/2009,0,275130,-275130
12/22/2009,0,258931,-258931
12/23/2009,0,245292,-245292
12/24/2009,0,233780,-233780
12/25/2009,0,223460,-223460
12/26/2009,0,948092,-948092
12/27/2009,0,326818,-326818
12/28/2009,0,239889,-239889
12/29/2009,0,234483,-234483
12/30/2009,0,229912,-229912
12/31/2009,0,225279,-225279
1/1/2010,0,220361,-220361
1/2/2010,0,215663,-215663
1/3/2010,0,206943,-206943
1/4/2010,0,198800,-198800
1/5/2010,0,191322,-191322
1/6/2010,0,184294,-184294
1/7/2010,0,177636,-177636
1/8/2010,0,171487,-171487
1/9/2010,0,166018,-166018
1/10/2010,0,161134,-161134
1/11/2010,0,156580,-156580
1/12/2010,0,152189,-152189
1/13/2010,0,147963,-147963
1/14/2010,0,143925,-143925
1/15/2010,0,140009,-140009
1/16/2010,0,136177,-136177
1/17/2010,0,702805,-702805
1/18/2010,0,151859,-151859
1/19/2010,0,253985,-253985
1/20/2010,0,149210,-149210
1/21/2010,0,148126,-148126
1/22/2010,0,146954,-146954
1/23/2010,0,145671,-145671
1/24/2010,0,1920591,-1920590
1/25/2010,0,5245008,-5245010
1/26/2010,0,1279245,-1279250
1/27/2010,0,1632972,-1632970
1/28/2010,0,783404,-783404
1/29/2010,0,838024,-838024
1/30/2010,0,863829,-863829
1/31/2010,0,861394,-861394
2/1/2010,0,791283,-791283
2/2/2010,0,651894,-651894
2/3/2010,0,540303,-540303
2/4/2010,0,447260,-447260
2/5/2010,0,378764,-378764
2/6/2010,0,327861,-327861
2/7/2010,0,289628,-289628
2/8/2010,0,260371,-260371
2/9/2010,0,237368,-237368
2/10/2010,0,218826,-218826
2/11/2010,0,203777,-203777
2/12/2010,0,191398,-191398
2/13/2010,0,181043,-181043
2/14/2010,0,172070,-172070
2/15/2010,0,163947,-163947
2/16/2010,0,156607,-156607
2/17/2010,0,150132,-150132
2/18/2010,0,661697,-661697
2/19/2010,0,1705159,-1705160
2/20/2010,0,3272372,-3272370
2/21/2010,0,2378606,-2378610
2/22/2010,0,585342,-585342
2/23/2010,0,2531064,-2531060
2/24/2010,0,3456168,-3456170
2/25/2010,0,4232282,-4232280
2/26/2010,0,1586415,-1586420
2/27/2010,0,2562259,-2562260
2/28/2010,0,4986732,-4986730
3/1/2010,0,7098716,-7098720
3/2/2010,0,9554699,-9554700
3/3/2010,0,7119000,-7119000
3/4/2010,0,5073283,-5073280
3/5/2010,0,3026745,-3026740
3/6/2010,0,2372767,-2372770
3/7/2010,0,2733239,-2733240
3/8/2010,0,1857652,-1857650
3/9/2010,0,1108444,-1108440
3/10/2010,0,823202,-823202
3/11/2010,0,631966,-631966
3/12/2010,0,1743410,-1743410
3/13/2010,0,5815872,-5815870
3/14/2010,0,2919084,-2919080
3/15/2010,0,1465637,-1465640
3/16/2010,0,1037089,-1037090
3/17/2010,0,916076,-916076
3/18/2010,0,818429,-818429
3/19/2010,0,729608,-729608
3/20/2010,0,631371,-631371
3/21/2010,0,510544,-510544
3/22/2010,0,4709112,-4709110
3/23/2010,0,1451354,-1451350
3/24/2010,0,1129306,-1129310
3/25/2010,0,2130088,-2130090
3/26/2010,0,1165890,-1165890
3/27/2010,0,1058272,-1058270
3/28/2010,0,2681864,-2681860
3/29/2010,0,2253607,-2253610
3/30/2010,0,7078689,-7078690
3/31/2010,0,3338971,-3338970
4/1/2010,0,2124383,-2124380
4/2/2010,0,1600965,-1600970
4/3/2010,0,1227768,-1227770
4/4/2010,0,970277,-970277
4/5/2010,0,815176,-815176
4/6/2010,0,737140,-737140
4/7/2010,0,512808,-512808
4/8/2010,0,1874998,-1875000
4/9/2010,0,635644,-635644
4/10/2010,0,555013,-555013
4/11/2010,0,498894,-498894
4/12/2010,0,455156,-455156
4/13/2010,0,420701,-420701
4/14/2010,0,391155,-391155
4/15/2010,0,406537,-406537
4/16/2010,0,3036666,-3036670
4/17/2010,0,790149,-790149
4/18/2010,0,708295,-708295
4/19/2010,0,671510,-671510
4/20/2010,0,624658,-624658
4/21/2010,0,576965,-576965
4/22/2010,0,552007,-552007
4/23/2010,0,484797,-484797
4/24/2010,0,2633433,-2633430
4/25/2010,0,2479825,-2479820
4/26/2010,0,4570577,-4570580
4/27/2010,0,1575449,-1575450
4/28/2010,0,1424781,-1424780
4/29/2010,0,1249544,-1249540
4/30/2010,0,1058566,-1058570
5/1/2010,0,871499,-871499
5/2/2010,0,957603,-957603
5/3/2010,0,651837,-651837
5/4/2010,0,785220,-785220
5/5/2010,0,465554,-465554
5/6/2010,0,408159,-408159
5/7/2010,0,556239,-556239
5/8/2010,0,620108,-620108
5/9/2010,0,348961,-348961
5/10/2010,0,323154,-323154
5/11/2010,0,1318499,-1318500
5/12/2010,0,762239,-762239
5/13/2010,0,481664,-481664
5/14/2010,0,920640,-920640
5/15/2010,0,490693,-490693
5/16/2010,0,436461,-436461
5/17/2010,0,391472,-391472
5/18/2010,0,1671284,-1671280
5/19/2010,0,577792,-577792
5/20/2010,0,488590,-488590
5/21/2010,0,412517,-412517
5/22/2010,0,418188,-418188
5/23/2010,0,315533,-315533
5/24/2010,0,278930,-278930
5/25/2010,0,249873,-249873
5/26/2010,0,219716,-219716
5/27/2010,0,539752,-539752
5/28/2010,0,221955,-221955
5/29/2010,0,312879,-312879
5/30/2010,0,200745,-200745
5/31/2010,0,189818,-189818
