Reservoir Inflows and Outflows
"Scenario: GridMet, Reservoir: Pepacton Reservoir"
Cubic Meter
"Sources and Destinations","Decrease in Storage for Pepacton Reservoir","Increase in Storage for Pepacton Reservoir","Inflow from Upstream","Net Evaporation","Outflow to Downstream"
10/21/2000,316304, ,2160993,-52088.8,-2425210
10/22/2000,503226, ,1976825,-58839.2,-2421210
10/23/2000,685230, ,1794726,-59330.2,-2420630
10/24/2000,875872, ,1591508,-47549.6,-2419830
10/25/2000,1106796, ,1375530,-52384.2,-2429940
10/26/2000,1364883, ,1124681,-64536.9,-2425030
10/27/2000,1546010, ,944082,-63022.4,-2427070
10/28/2000,1715743, ,807836,-30809.6,-2492770
10/29/2000,1753680, ,726200,-60227.4,-2419650
10/30/2000,1770684, ,674426,-31365.9,-2413740
10/31/2000,1664240, ,638153,-29083.2,-2273310
11/1/2000,1834546, ,611386,-36177.7,-2409750
11/2/2000,1851704, ,591254,-35334.7,-2407620
11/3/2000,1862913, ,575502,-36571.7,-2401840
11/4/2000,1874475, ,566402,-41197.6,-2399680
11/5/2000,1881451, ,554990,-42809.4,-2393630
11/6/2000,1885978, ,544069,-38601.4,-2391450
11/7/2000,1881996, ,536365,-29107,-2389250
11/8/2000,1885837, ,529384,-31781.5,-2383440
11/9/2000,1792961, ,628591,-32803.8,-2388750
11/10/2000,1007758, ,1269889,112647,-2390290
11/11/2000,641572, ,1423693,320230,-2385490
11/12/2000,1434538, ,961921,-11709.8,-2384750
11/13/2000,1444150, ,969818,-30886,-2383080
11/14/2000,675615, ,1736340,-30550.2,-2381410
11/15/2000, ,-5007.89,2261348,124280,-2380620
11/16/2000,655486, ,1752460,-27320.1,-2380630
11/17/2000,668226, ,1734926,-27158.2,-2375990
11/18/2000,831318, ,1570331,-26431.2,-2375220
11/19/2000,1026620, ,1367842,-20210.2,-2374250
11/20/2000,1174790, ,1217459,-19189.7,-2373060
11/21/2000,1288378, ,1099681,-16364.3,-2371690
11/22/2000,1411778, ,976665,-18245.8,-2370200
11/23/2000,1513718, ,870328,-15488.4,-2368560
11/24/2000,1581375, ,795303,-13507.7,-2363170
11/25/2000,1632014, ,740893,-11572.6,-2361330
11/26/2000,1188010, ,1188991,-13934.7,-2363070
11/27/2000,954908, ,1423981,-17203.3,-2361690
11/28/2000,1183868, ,1194287,-10078.6,-2368080
11/29/2000,1114444, ,1252860,-602.519,-2366700
11/30/2000,909945, ,1353953,101508,-2365410
12/1/2000,1050087, ,1236869,73764.2,-2360720
12/2/2000,1360812, ,1018196,-19507.3,-2359500
12/3/2000,1371970, ,998587,-12637.7,-2357920
12/4/2000,1416900, ,951878,-12452,-2356330
12/5/2000,1476748, ,891342,-13410,-2354680
12/6/2000,1533410, ,836683,-17129,-2352960
12/7/2000,1574747, ,788493,-15927.1,-2347310
12/8/2000,1617179, ,744532,-12356.7,-2349350
12/9/2000,1652309, ,706734,-11568,-2347480
12/10/2000,1678828, ,675809,-12951.5,-2341690
12/11/2000,1665971, ,689161,-11526.2,-2343610
12/12/2000,1652077, ,706342,-16749.2,-2341670
12/13/2000,1700356, ,634378,1146.93,-2335880
12/14/2000,1738684, ,607607,-12385.4,-2333910
12/15/2000,1749749, ,594257,-12120.2,-2331890
12/16/2000,1661942, ,689919,-18137.5,-2333720
12/17/2000, ,-9871760,11508635,2303.17,-1639180
12/18/2000, ,-14284000,14045596,949626,-711268
12/19/2000, ,-1437490,3675070,-23844.9,-2213730
12/20/2000, ,-1526610,3905000,-13238,-2365150
12/21/2000, ,-1360080,3734057,-14548.9,-2359430
12/22/2000, ,-988990,3360679,-10682.8,-2361010
12/23/2000, ,-556227,2930266,-11883.3,-2362160
12/24/2000, ,-141561,2513552,-9189.52,-2362800
12/25/2000,427708, ,1946006,-10747.6,-2362970
12/26/2000,944717, ,1429284,-11531.5,-2362470
12/27/2000,1242895, ,1131296,-8948.6,-2365240
12/28/2000,1421661, ,949990,-11723.3,-2359930
12/29/2000,1533058, ,836360,-11142.2,-2358280
12/30/2000,1605812, ,762940,-8385.49,-2360370
12/31/2000,1654039, ,713601,-9138.39,-2358500
1/1/2001,1685577, ,679864,-12733,-2352710
1/2/2001,1706649, ,655985,-11884,-2350750
1/3/2001,1720299, ,637697,-9228.01,-2348770
1/4/2001,1738402, ,622651,-10412.7,-2350640
1/5/2001,1751610, ,609704,-12693,-2348620
1/6/2001,1760603, ,598250,-12266.6,-2346590
1/7/2001,1770323, ,587893,-13675.3,-2344540
1/8/2001,1771531, ,586820,-15867,-2342480
1/9/2001,1786898, ,570499,-16971.2,-2340430
1/10/2001,1792830, ,562576,-17056,-2338350
1/11/2001,1796078, ,555606,-11787.3,-2339900
1/12/2001,1796609, ,549043,-11470.1,-2334180
1/13/2001,1806277, ,542869,-17052,-2332090
1/14/2001,1807139, ,537076,-14218.7,-2330000
1/15/2001,1777311, ,566451,-15866.1,-2327900
1/16/2001,1761542, ,576483,-12192.8,-2325830
1/17/2001,1801986, ,538468,-16668.6,-2323790
1/18/2001,1820019, ,522351,-20677.2,-2321690
1/19/2001,1766541, ,568902,-15865.1,-2319580
1/20/2001,1768232, ,555524,-6230.19,-2317530
1/21/2001,1815753, ,515553,-15834,-2315470
1/22/2001,1810751, ,512427,-13686.5,-2309490
1/23/2001,1809479, ,509269,-11359.6,-2307390
1/24/2001,1104766, ,505948,-11623.4,-1599090
1/25/2001,1102777, ,502957,-14142.2,-1591590
1/26/2001,1367373, ,499643,-17053.3,-1849960
1/27/2001,1365955, ,496399,-12392,-1849960
1/28/2001,1372420, ,493118,-15576,-1849960
1/29/2001,1375296, ,490008,-15341.6,-1849960
1/30/2001,943730, ,919702,-13470,-1849960
1/31/2001,806876, ,1023093,12493.1,-1842460
2/1/2001,597510, ,1220226,24726.1,-1842460
2/2/2001,609872, ,1159688,72901.9,-1842460
2/3/2001,957448, ,713603,167783,-1838830
2/4/2001,1172364, ,687932,-21462.2,-1838830
2/5/2001,788059, ,1070554,-12279.8,-1846330
2/6/2001,475367, ,1387342,-16375.7,-1846330
2/7/2001,564498, ,1224574,57261.8,-1846330
2/8/2001,869430, ,938008,38895.9,-1846330
2/9/2001,144964, ,1719188,-17817.8,-1846330
2/10/2001, ,-1129150,2895648,79836.3,-1846330
2/11/2001, ,-540950,2331967,55316.2,-1846330
2/12/2001,475084, ,1388462,-17211.8,-1846330
2/13/2001,481469, ,1377426,-12561,-1846330
2/14/2001, ,-523992,2387832,-13878.6,-1849960
2/15/2001, ,-1579030,3326100,99268.2,-1846330
2/16/2001, ,-731642,2485344,92632.4,-1846330
2/17/2001,243492, ,1624097,-21256.3,-1846330
2/18/2001,442084, ,1424406,-20157.4,-1846330
2/19/2001,602196, ,1258282,-14144.3,-1846330
2/20/2001, ,-45952.2,1902595,-14180.1,-1842460
2/21/2001, ,-393987,2121695,111126,-1838830
2/22/2001,357148, ,1291230,194084,-1842460
2/23/2001,750760, ,1111135,-15560.7,-1846330
2/24/2001,856902, ,1001258,-15696.9,-1842460
2/25/2001, ,-527703,2388116,-17950.3,-1842460
2/26/2001, ,-2947120,4817630,-20545.8,-1849960
2/27/2001, ,-2432540,4133915,144960,-1846330
2/28/2001, ,-357993,2042066,162260,-1846330
3/1/2001,26666.9, ,1844948,-25282,-1846330
3/2/2001,175374, ,1686787,-15827.5,-1846330
3/3/2001,324528, ,1537761,-19826.6,-1842460
3/4/2001,290500, ,1402154,149809,-1842460
3/5/2001,418843, ,1244289,-22673.1,-1640460
3/6/2001,585693, ,1067920,-20653.2,-1632960
3/7/2001,725240, ,923275,-19425.3,-1629090
3/8/2001,824309, ,822913,-21762.1,-1625460
3/9/2001,228387, ,1438294,-22592.4,-1644090
3/10/2001,251969, ,1351936,25184.9,-1629090
3/11/2001,485121, ,916271,231568,-1632960
3/12/2001,858671, ,797288,-22999,-1632960
3/13/2001, ,-1384960,3044342,-22791.3,-1636590
3/14/2001, ,-5781160,7175626,238499,-1632960
3/15/2001, ,-11079700,12344613,364176,-1629090
3/16/2001, ,-14375600,15982318,479183,-2085930
3/17/2001, ,-13986900,15555616,193265,-1762010
3/18/2001, ,-8526400,10119200,162965,-1755760
3/19/2001, ,-3715610,5513556,8847.24,-1806790
3/20/2001, ,-4561600,6390976,-14399.9,-1814980
3/21/2001, ,-9238230,11055871,-4860.71,-1812780
3/22/2001, ,-10343300,11850123,294182,-1801010
3/23/2001, ,-5596240,6940446,109572,-1453780
3/24/2001, ,-2701630,4155000,-4460.2,-1448910
3/25/2001, ,-1084090,2557162,-21030.2,-1452040
3/26/2001, ,-389958,1872586,-25452.8,-1457170
3/27/2001, ,-53078,1541650,-23444.5,-1465130
3/28/2001, ,-616346,1370760,-19339.1,-735075
3/29/2001, ,-569519,1316878,-22697.2,-724662
3/30/2001, ,-2751550,3480753,-3874.63,-725324
3/31/2001, ,-4400250,4829385,299382,-728520
4/1/2001, ,-4293160,4803623,223170,-733632
4/2/2001, ,-4632990,5272992,98612,-738619
4/3/2001, ,-3627350,4356601,14754.2,-744001
4/4/2001, ,-3287520,4060505,-24769.1,-748215
4/5/2001, ,-2747890,3546600,-46678.9,-752034
4/6/2001, ,-2686370,3496132,-54534.1,-755226
4/7/2001, ,-2876950,3636288,-989.45,-758347
4/8/2001, ,-2775500,3511439,25747.1,-761689
4/9/2001, ,-3123660,3892040,-3469.71,-764913
4/10/2001, ,-2246290,2895478,119358,-768542
4/11/2001, ,-867352,1716745,-78241.4,-771152
4/12/2001, ,-567483,1416657,-77015.2,-772159
4/13/2001, ,-362243,1208070,-73009,-772818
4/14/2001, ,-180778,1042512,-88495.4,-773239
4/15/2001, ,-82141.6,932440,-76849.1,-773449
4/16/2001, ,-225.146,846555,-72784.9,-773545
4/17/2001,76016.5, ,776351,-78823.1,-773545
4/18/2001,1298182, ,729105,-74712.7,-1952570
4/19/2001,2041047, ,694135,-63735.5,-2671450
4/20/2001,2049947, ,674434,-55205.1,-2669180
4/21/2001,2006926, ,706766,-46932.9,-2666760
4/22/2001,1981990, ,677251,5382.08,-2664620
4/23/2001,2132776, ,633772,-104283,-2662260
4/24/2001,2159675, ,617501,-117668,-2659510
4/25/2001,2180184, ,605273,-128458,-2657000
4/26/2001,2163576, ,594680,-103511,-2654740
4/27/2001,2140095, ,585532,-73395.2,-2652230
4/28/2001,2154012, ,577273,-81735.4,-2649550
4/29/2001,2167409, ,569348,-89708.7,-2647050
4/30/2001,2153572, ,562133,-71174.5,-2644530
5/1/2001,2244307, ,555582,-85090.2,-2714800
5/2/2001,2270705, ,549604,-108312,-2712000
5/3/2001,2129092, ,544203,-122828,-2550470
5/4/2001,2070119, ,539351,-128972,-2480500
5/5/2001,2050917, ,535016,-111469,-2474460
5/6/2001,2055749, ,531103,-114770,-2472080
5/7/2001,2023584, ,527470,-77731,-2473320
5/8/2001,2029645, ,524040,-78842.1,-2474840
5/9/2001,2031492, ,520785,-83662.4,-2468610
5/10/2001,2051444, ,517687,-95377.6,-2473750
5/11/2001,2053735, ,515911,-94404.2,-2475240
5/12/2001,2033569, ,516580,-81164.2,-2468980
5/13/2001,2044461, ,510366,-95704.4,-2459120
5/14/2001,2225705, ,506714,-84795.5,-2647620
5/15/2001,2223492, ,504168,-75123.2,-2652540
5/16/2001,2219950, ,501702,-71697.9,-2649950
5/17/2001,2223828, ,504938,-81390.7,-2647370
5/18/2001,2219852, ,498417,-73477.7,-2644790
5/19/2001,2229370, ,496569,-83725.5,-2642210
5/20/2001,2221020, ,493329,-74725.8,-2639620
5/21/2001,2200098, ,506168,-99220.9,-2607040
5/22/2001,1471517, ,1233470,-77999,-2626990
5/23/2001,113956, ,2094734,409089,-2617780
5/24/2001,672801, ,1756050,57916.6,-2486770
5/25/2001,1348569, ,1089072,-281.101,-2437360
5/26/2001, ,-20909.6,2335425,-103466,-2211050
5/27/2001, ,-1801560,3862412,120224,-2181080
5/28/2001, ,-2080270,4233466,37473.2,-2190670
5/29/2001, ,-1390530,3656494,-61508.5,-2204460
5/30/2001, ,-448310,2755458,-78579.5,-2228570
5/31/2001,276500, ,2026814,-74223.8,-2229090
6/1/2001, ,-502689,2859679,-76209.1,-2280780
6/2/2001, ,-3502380,3943540,372955,-814120
6/3/2001, ,-4515150,5293191,103770,-881814
6/4/2001, ,-2226960,4086927,161208,-2021180
6/5/2001, ,-556236,2507443,-95815.9,-1855390
6/6/2001, ,-240045,1866124,-95666.3,-1530410
6/7/2001, ,-537422,1470680,-106312,-826946
6/8/2001, ,-278432,1204837,-98834.6,-827571
6/9/2001, ,-56099,984268,-100275,-827894
6/10/2001,174690, ,819562,-98796.8,-895455
6/11/2001,1030318, ,1015296,-83737.1,-1961880
6/12/2001,884357, ,997432,26395.4,-1908180
6/13/2001,1309920, ,738053,-80820.4,-1967150
6/14/2001,1424070, ,656164,-125731,-1954500
6/15/2001,1395202, ,608258,-133107,-1870350
6/16/2001, ,-2755140,3704792,-128916,-820735
6/17/2001, ,-5011110,5198590,636457,-823936
6/18/2001, ,-2369010,3246693,-47930.9,-829757
6/19/2001, ,-1330370,2279156,-116278,-832509
6/20/2001, ,-1484300,2440930,-122580,-834055
6/21/2001, ,-1583730,2472566,-53058.5,-835779
6/22/2001, ,-822909,1778608,-118080,-837619
6/23/2001, ,-1906620,2828394,-83202.3,-838575
6/24/2001, ,-2088110,2802744,126152,-840790
6/25/2001, ,-657583,1613860,-113062,-843215
6/26/2001, ,-211524,1169134,-113630,-843979
6/27/2001,45807.2, ,920651,-122233,-844225
6/28/2001,1675524, ,766162,-126399,-2315290
6/29/2001,1963999, ,690441,-127726,-2526710
6/30/2001,1775676, ,869538,-120781,-2524430
7/1/2001,1086325, ,1390768,41405.9,-2518500
7/2/2001,1119488, ,1265971,128149,-2513610
7/3/2001,1745269, ,875430,-104762,-2515940
7/4/2001,1252682, ,1357211,-95983.4,-2513910
7/5/2001,1096107, ,1377564,38783.4,-2512450
7/6/2001,1535664, ,1088490,-116602,-2507550
7/7/2001,1510196, ,1107269,-108068,-2509400
7/8/2001,1143897, ,1395148,-31402,-2507640
7/9/2001,1170394, ,1237212,98707.1,-2506310
7/10/2001,1044542, ,1547441,-87029.5,-2504950
7/11/2001,991068, ,1498436,10607.8,-2500110
7/12/2001,1270066, ,1337195,-108300,-2498960
7/13/2001,1582093, ,1018131,-99110.6,-2501110
7/14/2001,1723316, ,870556,-98224.1,-2495650
7/15/2001,1813540, ,778905,-98798.9,-2493650
7/16/2001,1839974, ,721483,-69918.7,-2491540
7/17/2001,1765827, ,818854,-95280.2,-2489400
7/18/2001,1775363, ,778617,-66630.4,-2487350
7/19/2001,1972314, ,628894,-115920,-2485290
7/20/2001,2029223, ,576988,-119586,-2486620
7/21/2001,2060902, ,544847,-117611,-2488140
7/22/2001,2076840, ,523189,-114284,-2485740
7/23/2001,2084020, ,515476,-116164,-2483330
7/24/2001,2083601, ,516530,-119220,-2480910
7/25/2001,1951540, ,636993,-110043,-2478490
7/26/2001,790234, ,1679775,-1284.83,-2468720
7/27/2001,521199, ,1809223,137384,-2467810
7/28/2001,1634500, ,919263,-86563.9,-2467200
7/29/2001,1624228, ,935532,-98329.4,-2461430
7/30/2001,1653360, ,913553,-103498,-2463410
7/31/2001,1714846, ,867389,-113241,-2468990
8/1/2001,1770502, ,806946,-110447,-2467000
8/2/2001,1849902, ,732212,-117170,-2464940
8/3/2001,1696025, ,889362,-122592,-2462800
8/4/2001,1247310, ,1235443,-21927.5,-2460830
8/5/2001,1363520, ,1176273,-80416.6,-2459380
8/6/2001,1819610, ,763264,-125081,-2457790
8/7/2001,1882688, ,696042,-123052,-2455680
8/8/2001,1933517, ,636918,-116943,-2453490
8/9/2001,2006313, ,582176,-137244,-2451250
8/10/2001,1883432, ,696655,-135043,-2445040
8/11/2001,1770236, ,690451,-17831.4,-2442860
8/12/2001,1771646, ,769545,-104020,-2437170
8/13/2001,1671664, ,830124,-66676,-2435110
8/14/2001,1913526, ,634387,-118613,-2429300
8/15/2001,1490670, ,583978,-111226,-1963420
8/16/2001,1518460, ,550153,-105190,-1963420
8/17/2001,1093616, ,973107,-103300,-1963420
8/18/2001,906500, ,869728,183566,-1959790
8/19/2001,1344422, ,722629,-107257,-1959790
8/20/2001,1162439, ,828975,-24120.7,-1967290
8/21/2001,1205129, ,835702,-69908.2,-1970920
8/22/2001,1390278, ,681400,-104384,-1967290
8/23/2001,1436151, ,634948,-103806,-1967290
8/24/2001,1464972, ,599373,-100922,-1963420
8/25/2001,1507138, ,555791,-99506.2,-1963420
8/26/2001,1534538, ,524575,-95690.6,-1963420
8/27/2001,1544842, ,513602,-95021.6,-1963420
8/28/2001,1473884, ,582207,-92667.6,-1963420
8/29/2001,1440827, ,523967,2499.87,-1967290
8/30/2001,1584832, ,483569,-101107,-1967290
8/31/2001,1233088, ,828210,-90376,-1970920
9/1/2001,985445, ,758081,199575,-1943100
9/2/2001,1446390, ,606477,-109765,-1943100
9/3/2001,1445756, ,576558,-79212.6,-1943100
9/4/2001,924045, ,1101914,-82858,-1943100
9/5/2001,797862, ,995134,150105,-1943100
9/6/2001,1238734, ,790616,-90119.5,-1939230
9/7/2001,1450083, ,764169,-80275.5,-2133980
9/8/2001,1525557, ,695217,-86798.5,-2133980
9/9/2001,1598544, ,631130,-95697.7,-2133980
9/10/2001,1459170, ,772604,-97797.5,-2133980
9/11/2001,1386570, ,754402,-6995.57,-2133980
9/12/2001,1588611, ,606824,-65328.7,-2130110
9/13/2001,1123988, ,944598,-80728.5,-1987860
9/14/2001, ,-410674,1565405,230503,-1385230
9/15/2001,285511, ,1691805,76585.5,-2053900
9/16/2001,1034087, ,1075452,-55638.4,-2053900
9/17/2001,1078824, ,1045280,-66574,-2057530
9/18/2001,1153307, ,975220,-70997.1,-2057530
9/19/2001,1236452, ,894612,-73534.7,-2057530
9/20/2001, ,-885607,3019926,-76789.2,-2057530
9/21/2001, ,-2403430,4096637,364318,-2057530
9/22/2001, ,-329125,2463504,-80478.7,-2053900
9/23/2001,290262, ,1844342,-80703.8,-2053900
9/24/2001, ,-3767610,5899288,-77778.4,-2053900
9/25/2001, ,-6832810,8096770,793568,-2057530
9/26/2001, ,-6315970,8316530,53345.6,-2053900
9/27/2001, ,-2794350,4909115,-60867.2,-2053900
9/28/2001, ,-2635090,4727097,-38106.9,-2053900
9/29/2001, ,-1788410,3793001,49307.1,-2053900
9/30/2001, ,-604953,2720197,-61343.3,-2053900
10/1/2001,42848.4, ,2036281,-53291,-2025840
10/2/2001, ,-162284,1511643,-57022.4,-1292340
10/3/2001,969522, ,1129827,-66011,-2033340
10/4/2001,1223512, ,883614,-69918.1,-2037210
10/5/2001,1349162, ,757053,-72877.2,-2033340
10/6/2001,1258485, ,846750,-71897.8,-2033340
10/7/2001,1180568, ,853682,-4540.76,-2029710
10/8/2001,1370072, ,698297,-42531.8,-2025840
10/9/2001,1418491, ,654838,-39991.3,-2033340
10/10/2001,1441762, ,630136,-38560.4,-2033340
10/11/2001,1462620, ,608416,-37699.3,-2033340
10/12/2001,1502619, ,589602,-58883.9,-2033340
10/13/2001,1113963, ,572520,-49894.2,-1636590
10/14/2001,919518, ,776002,-66430.7,-1629090
10/15/2001,533885, ,927890,186184,-1647960
10/16/2001,222628, ,1283364,-37779.7,-1468210
10/17/2001,338705, ,1232978,76276.1,-1647960
10/18/2001,864608, ,1204568,-83.7145,-2069090
10/19/2001,929456, ,1064810,-39552.3,-1954710
10/20/2001,828133, ,1058176,-39975.4,-1846330
10/21/2001,850703, ,1043288,-47658.2,-1846330
10/22/2001,1117067, ,993150,-43252.5,-2066960
10/23/2001,838293, ,1282737,-51938.5,-2069090
10/24/2001,565925, ,1371772,131394,-2069090
10/25/2001,917174, ,1170402,-18526.9,-2069050
10/26/2001,1164762, ,961743,-57455.6,-2069050
10/27/2001,1222870, ,893866,-47627.1,-2069110
10/28/2001,1247023, ,841946,-20005.7,-2068960
10/29/2001,1273346, ,791840,-31848.4,-2033340
10/30/2001,1309478, ,751829,-31598.4,-2029710
10/31/2001,1364737, ,702376,-37404.4,-2029710
11/1/2001,1404150, ,655789,-34101.2,-2025840
11/2/2001,1409008, ,654860,-38030.6,-2025840
11/3/2001,1432779, ,626729,-33669.5,-2025840
11/4/2001,1425812, ,648256,-48229.5,-2025840
11/5/2001,1365207, ,660441,4060.19,-2029710
11/6/2001,1429499, ,620498,-24159,-2025840
11/7/2001,1470892, ,590596,-31779.9,-2029710
11/8/2001,1472014, ,589953,-32258.7,-2029710
11/9/2001,1465989, ,585443,-25594.2,-2025840
11/10/2001,1477057, ,573046,-27893.4,-2022210
11/11/2001,1483682, ,560326,-21798.5,-2022210
11/12/2001,1486350, ,548719,-16730.6,-2018340
11/13/2001,1507036, ,539800,-17127.2,-2029710
11/14/2001,1512064, ,533248,-19474.1,-2025840
11/15/2001,1528759, ,519718,-18768.5,-2029710
11/16/2001,1539454, ,509752,-23368.3,-2025840
11/17/2001,1547588, ,500948,-26325.9,-2022210
11/18/2001,1552434, ,493361,-23585.7,-2022210
11/19/2001,1526143, ,512690,-20494.6,-2018340
11/20/2001,1396357, ,621425,556.656,-2018340
11/21/2001,1303313, ,597566,20208.1,-1921090
11/22/2001,1538375, ,502447,-18612.7,-2022210
11/23/2001,1531998, ,507103,-20762.1,-2018340
11/24/2001,1520026, ,518298,-19985.8,-2018340
11/25/2001,1033956, ,1001268,-20513.9,-2014710
11/26/2001,869790, ,917456,246091,-2033340
11/27/2001,1302253, ,729844,-28757.1,-2003340
11/28/2001,1189737, ,859854,-23752.1,-2025840
11/29/2001,994028, ,1020939,7241.61,-2022210
11/30/2001,12186.5, ,2015440,9582.09,-2037210
12/1/2001, ,-516308,2377004,169013,-2029710
12/2/2001,277039, ,1783826,-31155.9,-2029710
12/3/2001,457050, ,1600484,-27826.1,-2029710
12/4/2001,593006, ,1450666,-21463.2,-2022210
12/5/2001,743053, ,1308190,-21534.4,-2029710
12/6/2001,881596, ,1174386,-26273.6,-2029710
12/7/2001,1003445, ,1052334,-29940.5,-2025840
12/8/2001,1000474, ,1048942,-27207.5,-2022210
12/9/2001,987898, ,941570,92740.5,-2022210
12/10/2001,1212879, ,813969,-4639.02,-2022210
12/11/2001,1298470, ,744901,-13662.3,-2029710
12/12/2001,1310360, ,734682,-15333.4,-2029710
12/13/2001,1278840, ,759596,-5098.3,-2033340
12/14/2001,547433, ,1475330,6945.32,-2029710
12/15/2001, ,-1809930,1856052,123222,-169344
12/16/2001, ,-1112840,1370793,-21118.2,-236840
12/17/2001, ,-835236,2066941,-14363.4,-1217340
12/18/2001, ,-1755730,2865006,108068,-1217340
12/19/2001, ,-1330700,2506012,79531.7,-1254840
12/20/2001, ,-1012330,2251476,-17933.3,-1221210
12/21/2001, ,-957843,2089598,6962.19,-1138720
12/22/2001, ,-1595660,1777263,-12263.8,-169344
12/23/2001, ,-1257670,1507612,-13099.2,-236840
12/24/2001, ,-178362,1390110,-13034.2,-1198710
12/25/2001, ,-7167.7,1229025,-8145.05,-1213710
12/26/2001,217433, ,986568,-12786.9,-1191210
12/27/2001,353927, ,867167,-11251.7,-1209840
12/28/2001,368517, ,783751,-9680.29,-1142590
12/29/2001, ,-544656,724099,-10098.6,-169344
12/30/2001, ,-298600,680741,-10552.4,-371589
12/31/2001,811751, ,648451,-10618.1,-1449580
1/1/2002,847738, ,622802,-9826.78,-1460710
1/2/2002,860453, ,601812,-9052.08,-1453210
1/3/2002,904532, ,584626,-9817.26,-1479340
1/4/2002,792528, ,570116,-10553.8,-1352090
1/5/2002,727922, ,557563,-12017.8,-1273470
1/6/2002,221370, ,1126202,-14108.7,-1333460
1/7/2002,197252, ,1112427,-13713.4,-1295970
1/8/2002,620811, ,638149,10878,-1269840
1/9/2002,656620, ,649827,-10481.1,-1295970
1/10/2002,649024, ,659102,-12161.1,-1295970
1/11/2002,886761, ,817323,-11369.9,-1692710
1/12/2002, ,-615036,773418,10961.6,-169344
1/13/2002, ,-413980,670768,-16319.4,-240468
1/14/2002,588868, ,648018,-12044.7,-1224840
1/15/2002,578960, ,675219,-14338.7,-1239840
1/16/2002,565475, ,656640,-12273.5,-1209840
1/17/2002,605139, ,648518,-13816.8,-1239840
1/18/2002,599090, ,618811,-8058.98,-1209840
1/19/2002, ,-395256,578719,-14119.3,-169344
1/20/2002, ,-386470,564780,-8966.28,-169344
1/21/2002,670666, ,552426,-9379.81,-1213710
1/22/2002,717381, ,541302,-11343.6,-1247340
1/23/2002,535784, ,532358,-15547.3,-1052590
1/24/2002,331190, ,1002733,-15458.9,-1318460
1/25/2002, ,-69204.3,1305966,48075.5,-1284840
1/26/2002, ,-1537210,1723304,-16747,-169344
1/27/2002, ,-2523080,2707564,-15141.4,-169344
1/28/2002, ,-2502210,3640717,37707.4,-1176220
1/29/2002, ,-3450930,4576939,91331,-1217340
1/30/2002, ,-5643540,6562816,126057,-1045340
1/31/2002, ,-5540760,6745585,177267,-1382090
2/1/2002, ,-4249200,5317747,216287,-1284840
2/2/2002, ,-5112850,5067650,214546,-169344
2/3/2002, ,-3008110,3169984,145848,-307722
2/4/2002, ,-1468260,2529235,-15636,-1045340
2/5/2002, ,-709806,2010223,-4451.31,-1295970
2/6/2002, ,-441730,1607102,-11655.8,-1153720
2/7/2002, ,-97351.8,1413295,-12478.4,-1303460
2/8/2002, ,-135718,1414982,31700.7,-1310960
2/9/2002, ,-11774.6,1231739,87371,-1307340
2/10/2002, ,-3009160,4283820,21308.9,-1295970
2/11/2002, ,-3468130,3994957,319889,-846720
2/12/2002, ,-827612,1989256,126822,-1288470
2/13/2002, ,-379828,1827650,-17107.1,-1430710
2/14/2002, ,-210617,1721151,-12322.8,-1498210
2/15/2002, ,-884636,2293798,-15945.2,-1393220
2/16/2002, ,-2512490,3828063,-15732.7,-1299840
2/17/2002, ,-2567100,3832830,49101.6,-1314840
2/18/2002, ,-1094980,2409782,-14967.9,-1299840
2/19/2002, ,-576346,1927144,-24834.3,-1325960
2/20/2002, ,-1500850,2866462,-21020.9,-1344590
2/21/2002, ,-2491880,3756128,1718.94,-1265970
2/22/2002, ,-1216000,2134348,10865.3,-929215
