Reservoir Inflows and Outflows
"Scenario: GridMet, Reservoir: Cannonsville Reservoir"
Cubic Meter
"Sources and Destinations","Decrease in Storage for Cannonsville Reservoir","Increase in Storage for Cannonsville Reservoir","Inflow from Upstream","Net Evaporation","Outflow to Downstream"
10/11/2000, ,-515328,2188219,-21452.7,-1651440
10/12/2000,555896, ,1968589,-23678.9,-2500810
10/13/2000,430537, ,1574718,-41800.9,-1963450
10/14/2000,1033904, ,1236204,-43830.7,-2226280
10/15/2000,342402, ,998638,-48857.4,-1292180
10/16/2000,1103444, ,1266058,-48463.3,-2321040
10/17/2000,407757, ,1879300,-8801.06,-2278260
10/18/2000, ,-3504960,5288392,175842,-1959270
10/19/2000, ,-2326090,3440256,358206,-1472370
10/20/2000, ,-614436,2169521,-38402.8,-1516680
10/21/2000, ,-651902,2034888,-38825,-1344160
10/22/2000, ,-127928,1878292,-44716.5,-1705650
10/23/2000, ,-280525,1728064,-38856.1,-1408680
10/24/2000, ,-230554,1548722,-33928.7,-1284240
10/25/2000,528907, ,1335314,-39285.5,-1824940
10/26/2000,30703.8, ,1094044,-49541.3,-1075210
10/27/2000,52887.5, ,1045286,-44846.2,-1053330
10/28/2000,663012, ,848983,-17330.8,-1494660
10/29/2000,602581, ,761280,-40185.6,-1323680
10/30/2000,612466, ,708359,-25437.8,-1295390
10/31/2000,385267, ,669899,-25250,-1029920
11/1/2000,366402, ,640991,-32800.3,-974592
11/2/2000,433902, ,618890,-28664,-1024130
11/3/2000,619269, ,601111,-30939.7,-1189440
11/4/2000,603047, ,600084,-33275.7,-1169860
11/5/2000,212524, ,581485,-34264.5,-759744
11/6/2000,203028, ,564744,-29339.5,-738432
11/7/2000,165987, ,555170,-24772.8,-696384
11/8/2000,228271, ,546942,-26413.2,-748800
11/9/2000,663564, ,708719,-29109,-1343170
11/10/2000, ,-1211020,2153903,40037.5,-982921
11/11/2000, ,-928335,1359799,275288,-706752
11/12/2000, ,-24029.4,937487,3534.41,-916992
11/13/2000, ,-435964,982338,-24518,-521856
11/14/2000, ,-1468190,2195992,-22779.7,-705024
11/15/2000, ,-1409700,1860559,68118.2,-518976
11/16/2000, ,-962391,1569264,-21080.5,-585792
11/17/2000, ,-848466,1605574,-23284.3,-733824
11/18/2000, ,-747866,1434448,-16693.6,-669888
11/19/2000, ,-719914,1273323,-16000.6,-537408
11/20/2000, ,-599267,1165997,-15786.5,-550944
11/21/2000, ,-528024,1063568,-13112.9,-522432
11/22/2000, ,-408617,950972,-15315.4,-527040
11/23/2000, ,-364600,861914,-12898,-484416
11/24/2000, ,-354641,797102,-11036.1,-431424
11/25/2000, ,-371515,747763,-9912.67,-366336
11/26/2000, ,-1155610,1555778,-11654.9,-388512
11/27/2000, ,-968933,1285123,34593.4,-350784
11/28/2000, ,-852219,1134460,-3169.73,-279072
11/29/2000, ,-1263900,1502397,1699.18,-240192
11/30/2000, ,-1361470,1525878,74058.2,-238464
12/1/2000, ,-935058,1106857,33833.1,-205632
12/2/2000, ,-777007,996855,-14215.6,-205632
12/3/2000, ,-771165,987301,-10503.5,-205632
12/4/2000, ,-737954,954007,-10421,-205632
12/5/2000, ,-687181,904315,-11501.9,-205632
12/6/2000, ,-636742,857270,-14896.1,-205632
12/7/2000, ,-593250,810663,-11781.5,-205632
12/8/2000, ,-551156,766631,-9842.46,-205632
12/9/2000, ,-512158,727375,-9585.43,-205632
12/10/2000, ,-478666,694861,-10563.6,-205632
12/11/2000, ,-524525,739610,-9453.16,-205632
12/12/2000, ,-524507,741420,-11280.6,-205632
12/13/2000, ,-431518,641291,-4140.27,-205632
12/14/2000, ,-409846,624678,-9200.6,-205632
12/15/2000, ,-393093,609907,-11181.9,-205632
12/16/2000, ,-695018,915297,-14647,-205632
12/17/2000, ,-14312500,14468225,49917.4,-205632
12/18/2000, ,-7593760,7181478,617916,-205632
12/19/2000, ,-2078060,2300919,-17230.6,-205632
12/20/2000, ,-2314260,2530658,-10768.5,-205632
12/21/2000, ,-2378430,2595869,-11802.7,-205632
12/22/2000, ,-2313940,2528520,-8952.48,-205632
12/23/2000, ,-2161310,2376688,-9745.81,-205632
12/24/2000, ,-1956570,2168959,-6758.95,-205632
12/25/2000, ,-1535140,1750127,-9356.85,-205632
12/26/2000, ,-1176160,1390994,-9206.72,-205632
12/27/2000, ,-941219,1156207,-9355.86,-205632
12/28/2000, ,-780292,998134,-12210.3,-205632
12/29/2000, ,-674483,890469,-10354.1,-205632
12/30/2000, ,-601062,814962,-8267.17,-205632
12/31/2000, ,-547055,760484,-7797.32,-205632
1/1/2001, ,-503439,721144,-12073.5,-205632
1/2/2001, ,-475189,691843,-11021.3,-205632
1/3/2001, ,-455123,668648,-7892.97,-205632
1/4/2001,577956, ,649188,-10770.6,-1216370
1/5/2001,704658, ,632272,-12175.8,-1324750
1/6/2001,719291, ,617297,-11833.8,-1324750
1/7/2001,734324, ,603831,-13400.7,-1324750
1/8/2001,723819, ,616756,-15821.2,-1324750
1/9/2001,745114, ,595509,-15869.2,-1324750
1/10/2001,766437, ,573072,-14755.6,-1324750
1/11/2001,772002, ,564326,-11574.1,-1324750
1/12/2001,1281532, ,556131,-11167.8,-1826500
1/13/2001,1415014, ,548535,-13673.4,-1949880
1/14/2001,1420366, ,541392,-11883.3,-1949880
1/15/2001,1320044, ,643063,-13232,-1949880
1/16/2001,1427920, ,615921,-7842.43,-2036000
1/17/2001,1507509, ,550214,-10596.1,-2047130
1/18/2001,1537237, ,526096,-16205.7,-2047130
1/19/2001,1438379, ,622295,-13546.9,-2047130
1/20/2001,1498954, ,542884,5288.69,-2047130
1/21/2001,1544112, ,517112,-14097.3,-2047130
1/22/2001,1544701, ,513387,-10961,-2047130
1/23/2001,1547445, ,509341,-9658.55,-2047130
1/24/2001,1551856, ,505045,-9773.11,-2047130
1/25/2001,1558940, ,500872,-12684.9,-2047130
1/26/2001,1559436, ,496998,-12936.4,-2043500
1/27/2001,1560417, ,492920,-9838.51,-2043500
1/28/2001,1568395, ,488918,-13814.2,-2043500
1/29/2001,1571193, ,485159,-12854.2,-2043500
1/30/2001,986820, ,1067555,-10876.4,-2043500
1/31/2001,865891, ,1101547,79689.5,-2047130
2/1/2001,1070836, ,954028,22263,-2047130
2/2/2001,1050722, ,932311,60465.4,-2043500
2/3/2001,1331470, ,573959,138069,-2043500
2/4/2001,1473870, ,586946,-17317.5,-2043500
2/5/2001,945377, ,1109168,-11046.6,-2043500
2/6/2001,510296, ,1548112,-14909.9,-2043500
2/7/2001,976327, ,1015319,51851.9,-2043500
2/8/2001,567157, ,744759,91462.4,-1403380
2/9/2001, ,-1113910,2458066,-15528.8,-1328620
2/10/2001, ,-1936520,3176045,89104.3,-1328620
2/11/2001, ,-312081,1522324,118382,-1328620
2/12/2001,126382, ,1216236,-13992.9,-1328620
2/13/2001, ,-445928,1785625,-11072,-1328620
2/14/2001, ,-3176140,4517499,-12732.9,-1328620
2/15/2001, ,-5171640,6519702,-15805,-1332250
2/16/2001, ,-2597680,3851233,78701.4,-1332250
2/17/2001, ,-1005060,2354639,-17329.8,-1332250
2/18/2001, ,-689082,2037624,-16288.6,-1332250
2/19/2001, ,-424322,1764971,-12024.1,-1328620
2/20/2001, ,-1961550,3302743,-12567.5,-1328620
2/21/2001, ,-1126900,2373447,82081.4,-1328620
2/22/2001, ,-413880,1579706,162799,-1328620
2/23/2001,3851.97, ,1336429,-11656.1,-1328620
2/24/2001,190386, ,1153365,-15126.3,-1328620
2/25/2001, ,-2383320,3726610,-14665.7,-1328620
2/26/2001, ,-4679100,5918396,92961.5,-1332250
2/27/2001, ,-2486770,3697948,117448,-1328620
2/28/2001, ,-937749,2126867,139507,-1328620
3/1/2001, ,-593718,1942943,-20600,-1328620
3/2/2001, ,-436000,1777712,-13087.1,-1328620
3/3/2001, ,-574673,1921232,-17935.1,-1328620
3/4/2001, ,-356763,1535430,149958,-1328620
3/5/2001, ,-21799.5,1368051,-17626.8,-1328620
3/6/2001,172533, ,1173115,-17024.1,-1328620
3/7/2001,337731, ,1007476,-16582.2,-1328620
3/8/2001,454116, ,893110,-18600.6,-1328620
3/9/2001, ,-1685030,3032758,-19098.6,-1328620
3/10/2001, ,-768264,2036221,60667.9,-1328620
3/11/2001,44407.1, ,1125605,158613,-1328620
3/12/2001,274193, ,1073321,-18889,-1328620
3/13/2001, ,-3805830,5153688,-19236.1,-1328620
3/14/2001, ,-8580480,9770231,138874,-1328620
3/15/2001, ,-15002400,15970159,360853,-1328620
3/16/2001, ,-17329600,18334792,323405,-1328620
3/17/2001, ,-15381600,16687576,26274.2,-1332250
3/18/2001, ,-8222380,9526811,27819.1,-1332250
3/19/2001, ,-3748320,5667978,11594.3,-1931250
3/20/2001, ,-6860490,8912690,9930.63,-2062130
3/21/2001, ,-3193090,13386293,21528.7,-10214700
3/22/2001, ,-131579,11135439,218017,-11221900
3/23/2001, ,-131579,6903164,126563,-6898150
3/24/2001, ,-131579,4156069,14591.6,-4039080
3/25/2001, ,-131579,2796217,-26921.3,-2637720
3/26/2001, ,-131579,2161853,-22658.2,-2007620
3/27/2001, ,-131579,1825721,-22909.3,-1671230
3/28/2001, ,-131579,1746205,-19044.7,-1595580
3/29/2001, ,-131579,1804120,-23029.8,-1649510
3/30/2001, ,-131579,5627588,-5958.75,-5490050
3/31/2001, ,-131579,5309614,284567,-5462600
4/1/2001, ,-131579,5730686,183173,-5782280
4/2/2001, ,-131579,4469309,91131.8,-4428860
4/3/2001, ,-131579,3872064,7851.44,-3748340
4/4/2001, ,-131579,3515182,-21550.3,-3362050
4/5/2001, ,-131579,2991564,-44907.4,-2815080
4/6/2001, ,-131579,3614790,-49032.6,-3434180
4/7/2001, ,-131579,3374071,-3359.72,-3239130
4/8/2001, ,-131579,3381681,12639.2,-3262740
4/9/2001, ,-131579,4052739,-18872.5,-3902290
4/10/2001, ,-131579,2278552,90075.1,-2237050
4/11/2001, ,-131579,1706061,-63837.5,-1510640
4/12/2001, ,-131579,1434579,-63998.4,-1239000
4/13/2001, ,-131579,1244142,-69852.2,-1042710
4/14/2001, ,-131579,1110010,-72795.1,-905636
4/15/2001, ,-131579,1009920,-62215.3,-816126
4/16/2001, ,-131579,930072,-51406.1,-747087
4/17/2001, ,-131579,863013,-64993,-666441
4/18/2001, ,-131579,814003,-61591,-620833
4/19/2001, ,-131579,778052,-50813.4,-595660
4/20/2001, ,-131579,774373,-47234,-595560
4/21/2001, ,-131579,879372,-41165.3,-706628
4/22/2001, ,-131579,759547,54054.5,-682023
4/23/2001, ,-131579,710342,-91636.7,-487126
4/24/2001, ,-131579,699243,-99620.2,-468044
4/25/2001, ,-131579,678136,-102482,-444075
4/26/2001, ,-131579,661349,-80947.3,-448822
4/27/2001, ,-131579,648631,-64066.9,-452986
4/28/2001, ,-131579,636921,-67736.2,-437606
4/29/2001, ,-131579,625575,-72029.3,-421967
4/30/2001, ,-131579,615264,-61895.6,-421789
5/1/2001, ,-82394.1,605861,-75914.6,-447552
5/2/2001,917498, ,597229,-93930.8,-1420800
5/3/2001,1078641, ,589359,-101326,-1566670
5/4/2001,278802, ,582167,-106421,-754548
5/5/2001, ,-21744.9,575566,-106269,-447552
5/6/2001, ,-15196.5,569434,-106685,-447552
5/7/2001, ,-40148.7,563656,-75954.9,-447552
5/8/2001, ,-31224.5,558175,-79398.1,-447552
5/9/2001, ,-20424.3,552957,-84980.6,-447552
5/10/2001,879378, ,547980,-96556.5,-1330800
5/11/2001,1110549, ,548946,-92821.6,-1566670
5/12/2001,1120364, ,543323,-97012.4,-1566670
5/13/2001,1114695, ,535613,-83634.1,-1566670
5/14/2001,1112038, ,530171,-75535.5,-1566670
5/15/2001,1110727, ,527189,-71242.5,-1566670
5/16/2001,1119214, ,522209,-74749.3,-1566670
5/17/2001,1123562, ,525669,-78686.6,-1570540
5/18/2001,1126150, ,516481,-75957.3,-1566670
5/19/2001,1127118, ,520136,-76708.7,-1570540
5/20/2001,1156286, ,508230,-97841.9,-1566670
5/21/2001,1146153, ,515540,-95019,-1566670
5/22/2001, ,-645828,2293466,-80964.6,-1566670
5/23/2001, ,-2292930,3546369,309602,-1563050
5/24/2001, ,-1296670,2398320,139401,-1241050
5/25/2001,76660.6, ,1144670,-25277.8,-1196050
5/26/2001, ,-1735590,3028641,-96999.6,-1196050
5/27/2001, ,-2694450,3427428,29069,-762048
5/28/2001, ,-2352270,3228568,-20866.6,-855429
5/29/2001, ,-1462380,2739684,-73756.1,-1203550
5/30/2001, ,-1319390,2140484,-81539.7,-739549
5/31/2001, ,-1065400,1576814,-63861.6,-447552
6/1/2001, ,-2338680,3413980,-75654.1,-999648
6/2/2001, ,-1737910,3515730,251766,-2029590
6/3/2001,655738, ,5191145,1733.68,-5848620
6/4/2001,655738, ,3310965,77926.3,-4044630
6/5/2001,655738, ,2064312,-83564.8,-2636480
6/6/2001,655738, ,1603534,-93861,-2165410
6/7/2001,837143, ,1301650,-104004,-2034790
6/8/2001,994974, ,1089290,-98694.4,-1985570
6/9/2001,1248310, ,901964,-96753.7,-2053520
6/10/2001,1458039, ,795855,-94101.1,-2159790
6/11/2001,847721, ,1377930,-95326,-2130320
6/12/2001,1148264, ,1064896,83708.6,-2296870
6/13/2001,1638093, ,750357,-96016.4,-2292430
6/14/2001,1626863, ,660057,-127542,-2159380
6/15/2001,1984000, ,621297,-129695,-2475600
6/16/2001, ,-4158200,6482563,-134308,-2190050
6/17/2001, ,-412088,4743012,815347,-5146270
6/18/2001,655738, ,2412133,-62547.3,-3005320
6/19/2001,839047, ,1770376,-113086,-2496340
6/20/2001,472428, ,1867485,-122152,-2217760
6/21/2001,655738, ,1606261,-77263.3,-2184740
6/22/2001,655738, ,1694215,-99964.6,-2249990
6/23/2001,655738, ,3532723,33666.2,-4222130
6/24/2001,655738, ,2271510,168504,-3095750
6/25/2001,655738, ,1371077,-111924,-1914890
6/26/2001,655738, ,1030123,-113816,-1572040
6/27/2001,655738, ,833516,-120747,-1368510
6/28/2001,839970, ,713796,-122550,-1431220
6/29/2001,765561, ,645561,-122610,-1288510
6/30/2001,361683, ,1004393,-130281,-1235790
7/1/2001,655738, ,1681491,82864.4,-2420090
7/2/2001,655738, ,1034680,138505,-1828920
7/3/2001,786621, ,738450,-94397.9,-1430670
7/4/2001,524855, ,1403924,-94461.3,-1834320
7/5/2001,655738, ,1167005,59197.7,-1881940
7/6/2001,680793, ,860982,-78493.5,-1463280
7/7/2001,630683, ,967605,-101510,-1496780
7/8/2001,655738, ,1566365,-76003.7,-2146100
7/9/2001,695858, ,1039799,99701.4,-1835360
7/10/2001,615617, ,1366491,-86248.2,-1895860
7/11/2001,655738, ,1174001,-47211,-1782530
7/12/2001,1101458, ,1014117,-66285.6,-2049290
7/13/2001,1897057, ,769238,-99467.7,-2566830
7/14/2001,1933892, ,686629,-97172.7,-2523350
7/15/2001,2156282, ,676811,-93187.6,-2739910
7/16/2001,1912277, ,690612,-103478,-2499410
7/17/2001,1866700, ,844934,-106871,-2604760
7/18/2001,2351386, ,691207,-30946.2,-3011650
7/19/2001,3056371, ,564242,-106912,-3513700
7/20/2001,2326346, ,531544,-117737,-2740150
7/21/2001,2151263, ,510373,-116306,-2545330
7/22/2001,2120266, ,496174,-111244,-2505200
7/23/2001,3088118, ,491572,-112389,-3467300
7/24/2001,2838998, ,518773,-123187,-3234580
7/25/2001,2548680, ,586514,-116331,-3018860
7/26/2001,669242, ,2275092,-13270.3,-2931060
7/27/2001,1511902, ,1689343,196568,-3397810
7/28/2001,2904756, ,706962,-79966.9,-3531750
7/29/2001,2378757, ,730508,-97585.9,-3011680
7/30/2001,2286278, ,715306,-90271.6,-2911310
7/31/2001,2110413, ,688831,-115637,-2683610
8/1/2001,2011052, ,650471,-110304,-2551220
8/2/2001,1856084, ,606795,-114251,-2348630
8/3/2001,1976217, ,930699,-119249,-2787670
8/4/2001,2615404, ,924202,15943.8,-3555550
8/5/2001,3031868, ,771847,-105327,-3698390
8/6/2001,2583737, ,574165,-123679,-3034220
8/7/2001,2603641, ,544894,-118771,-3029760
8/8/2001,2993215, ,518590,-85158.7,-3426650
8/9/2001,2220881, ,490227,-114180,-2596930
8/10/2001,2916188, ,669867,-107987,-3478070
8/11/2001,2074630, ,639884,-22825.2,-2691690
8/12/2001,2643240, ,611710,-82347.1,-3172600
8/13/2001,2049029, ,559024,-88576.1,-2519480
8/14/2001,2496940, ,495752,-101276,-2891420
8/15/2001,3423176, ,474594,-90653.5,-3807120
8/16/2001,3585494, ,470956,-87846.8,-3968600
8/17/2001,2042561, ,1267178,-63133.1,-3246610
8/18/2001,2550356, ,762174,183938,-3496470
8/19/2001,1902187, ,897308,-82443.4,-2717050
8/20/2001,2550812, ,758967,-44505.5,-3265270
8/21/2001,2176820, ,687357,-86646.2,-2777530
8/22/2001,1973962, ,595574,-84648.9,-2484890
8/23/2001,3622860, ,583041,-88859.6,-4117040
8/24/2001,2664929, ,545859,-74139.1,-3136650
8/25/2001,3183529, ,509171,-86001.7,-3606700
8/26/2001,3351242, ,512442,-78756,-3784930
8/27/2001,2792453, ,490766,-70590.2,-3212630
8/28/2001,3154426, ,598129,-81201,-3671350
8/29/2001,2284984, ,493991,-27611,-2751360
8/30/2001,3321458, ,455714,-77915.7,-3699260
8/31/2001,2336124, ,1343422,-73346,-3606200
9/1/2001,1310219, ,730947,137496,-2178660
9/2/2001,2450131, ,574145,-85086.3,-2939190
9/3/2001,2299431, ,545551,-67222.5,-2777760
9/4/2001,1008358, ,1412627,-70076,-2350910
9/5/2001,2255274, ,893806,111760,-3260840
9/6/2001,2974318, ,698995,-73198.2,-3600120
9/7/2001,3130259, ,675888,-68033.6,-3738110
9/8/2001,2262348, ,614208,-74741.6,-2801810
9/9/2001,3036307, ,558993,-80685.7,-3514610
9/10/2001,2507701, ,814176,-80010.9,-3241870
9/11/2001,2398028, ,630448,20960.6,-3049440
9/12/2001,2815700, ,535179,-67644.2,-3283230
9/13/2001,1957334, ,1351873,-67894.4,-3241310
9/14/2001,314869, ,1838925,166046,-2319840
9/15/2001,1844193, ,1248987,48532,-3141710
9/16/2001,2084494, ,862908,-55386.2,-2892020
9/17/2001,3197940, ,844012,-45640.9,-3996310
9/18/2001,2846019, ,793200,-48780.5,-3590440
9/19/2001,2337230, ,737449,-49470.3,-3025210
9/20/2001,306486, ,3677176,-51252.2,-3932410
9/21/2001,239527, ,2517916,163395,-2920840
9/22/2001,2288357, ,1527420,-56167.7,-3759610
9/23/2001,2547125, ,1246940,-52426.8,-3741640
9/24/2001, ,-5519740,9702385,-52209.7,-4130440
9/25/2001, ,-4219290,7862360,638569,-4281640
9/26/2001, ,-2443560,5611012,38054.1,-3205510
9/27/2001, ,-394574,4456728,-39715.5,-4022440
9/28/2001, ,-954856,5247225,-10730.4,-4281640
9/29/2001, ,-1149690,3645468,56238.4,-2552010
9/30/2001,570812, ,2622744,-40370.7,-3153190
10/1/2001,740452, ,2032531,-35382.2,-2737600
10/2/2001,1506925, ,1488296,-40250.4,-2954970
10/3/2001,2318045, ,1125159,-44858.8,-3398350
10/4/2001,1397017, ,878370,-48009.8,-2227380
10/5/2001,2020824, ,744853,-48890.8,-2716790
10/6/2001,873653, ,904327,-46963.7,-1731020
10/7/2001,1553233, ,811412,-1661.2,-2362980
10/8/2001,1914522, ,669411,-25433.8,-2558500
10/9/2001,1830533, ,628608,-26340.5,-2432800
10/10/2001,858974, ,599163,-21723.6,-1436410
10/11/2001,1179715, ,577101,-35700.7,-1721120
10/12/2001,1757403, ,561705,-39318.6,-2279790
10/13/2001,1111081, ,543020,-38895.3,-1615210
10/14/2001,1316015, ,1101068,-45318.8,-2371760
10/15/2001,1175300, ,922305,107908,-2205510
10/16/2001,147733, ,1572325,-27509.4,-1692550
10/17/2001, ,-251009,1528126,46837.8,-1323950
10/18/2001, ,-43703,1177755,13618.7,-1147670
10/19/2001,742496, ,1023310,-26016.6,-1739790
10/20/2001,961702, ,1033446,-27792.3,-1967360
10/21/2001,841973, ,1079348,-34373,-1886950
10/22/2001,653375, ,1025617,-25805.2,-1653190
10/23/2001,408918, ,1366712,-34807.6,-1740820
10/24/2001,222539, ,1504526,55139.9,-1782200
10/25/2001,531440, ,1179987,5837.91,-1717270
10/26/2001,316191, ,991379,-31692,-1275880
10/27/2001,415136, ,929404,-22954.4,-1321590
10/28/2001,101689, ,854472,-8045.58,-948115
10/29/2001,200079, ,803039,-15845,-987273
10/30/2001,700295, ,756917,-19683.4,-1437530
10/31/2001,199830, ,708929,-23772.3,-884987
11/1/2001,130374, ,676754,-22616.2,-784512
11/2/2001,484940, ,743158,-28577.5,-1199520
11/3/2001,155997, ,687706,-17142.5,-826560
11/4/2001,481553, ,754619,-27435.7,-1208740
11/5/2001,480694, ,738793,12001.3,-1231490
11/6/2001,248282, ,664657,-8906.39,-904032
11/7/2001,302259, ,623486,-22001,-903744
11/8/2001,441848, ,652842,-21314,-1073380
11/9/2001,451779, ,628204,-18991.5,-1060990
11/10/2001,338308, ,635041,-23813,-949536
11/11/2001,221049, ,597121,-19257.3,-798912
11/12/2001,159441, ,579435,-18876.3,-720000
11/13/2001,354676, ,566752,-15956.8,-905472
11/14/2001,225188, ,620494,-18257.5,-827424
11/15/2001,112969, ,555054,-15414.3,-652608
11/16/2001,116584, ,537297,-20569.1,-633312
11/17/2001, ,-28515.3,523491,-23231.8,-471744
11/18/2001,93083.3, ,511834,-24885.6,-580032
11/19/2001,31241.1, ,590351,-21975.8,-599616
11/20/2001, ,-300411,826184,2995.04,-528768
11/21/2001, ,-110525,616734,13342.6,-519552
11/22/2001, ,-2825.86,537880,-15789.9,-519264
11/23/2001, ,-80260,539413,-18512.7,-440640
11/24/2001, ,-198970,544811,-15216.7,-330624
11/25/2001, ,-1524510,1986592,-16257.5,-445824
11/26/2001, ,-1103160,1226970,211417,-335232
11/27/2001, ,-544680,906447,-23654.9,-338112
11/28/2001, ,-904798,1217028,-19334.9,-292896
11/29/2001, ,-1288410,1549780,129.38,-261504
11/30/2001, ,-2815650,3032199,19325.4,-235872
12/1/2001, ,-2354240,2465284,94584.8,-205632
12/2/2001, ,-1687250,1918035,-25155.3,-205632
12/3/2001, ,-1486800,1714670,-22235,-205632
12/4/2001, ,-1290400,1514822,-18794.2,-205632
12/5/2001, ,-1121480,1344798,-17680.9,-205632
12/6/2001, ,-948993,1172862,-18236.7,-205632
12/7/2001, ,-803475,1032479,-23372.8,-205632
12/8/2001, ,-956001,1181963,-20330.1,-205632
12/9/2001, ,-729170,920496,14305.3,-205632
12/10/2001, ,-598524,810151,-5995.15,-205632
12/11/2001, ,-530190,748101,-12279.1,-205632
12/12/2001, ,-552274,772392,-14485.6,-205632
12/13/2001, ,-655388,871886,-10866.1,-205632
12/14/2001, ,-1981370,2168639,18362.2,-205632
12/15/2001, ,-1619560,1722996,102199,-205632
12/16/2001, ,-1059700,1263046,2285.63,-205632
12/17/2001, ,-2347630,2542797,10469.2,-205632
12/18/2001, ,-2806100,2871446,140287,-205632
12/19/2001, ,-2027970,2162232,71373.6,-205632
12/20/2001, ,-1975040,2196898,-16227.6,-205632
12/21/2001, ,-1761870,1962277,5224.11,-205632
12/22/2001, ,-1469640,1685564,-10294,-205632
12/23/2001, ,-1264040,1483670,-13993.6,-205632
12/24/2001, ,-1192640,1412489,-14213.9,-205632
12/25/2001, ,-955860,1170769,-9276.96,-205632
12/26/2001, ,-785713,1004177,-12832,-205632
12/27/2001, ,-675128,892261,-11500.5,-205632
12/28/2001, ,-594136,809483,-9715.23,-205632
12/29/2001, ,-530764,747854,-11458.9,-205632
12/30/2001, ,-485895,702038,-10511,-205632
12/31/2001, ,-450784,667028,-10611.7,-205632
1/1/2002, ,-422874,638826,-10320.2,-205632
1/2/2002, ,-400696,615646,-9317.92,-205632
1/3/2002, ,-380313,596422,-10476.6,-205632
1/4/2002, ,-363317,580025,-11076,-205632
1/5/2002, ,-347746,565676,-12297.5,-205632
1/6/2002, ,-1198100,1419726,-15990.5,-205632
1/7/2002, ,-924276,1143837,-13928.9,-205632
1/8/2002, ,-428269,624711,9189.29,-205632
1/9/2002, ,-440716,657029,-10681,-205632
1/10/2002, ,-455729,675332,-13971.4,-205632
1/11/2002, ,-713282,934648,-15734,-205632
1/12/2002, ,-548328,750485,3474.95,-205632
1/13/2002, ,-428856,651861,-17372.9,-205632
1/14/2002, ,-411088,629925,-13205.3,-205632
1/15/2002, ,-499372,720295,-15291.1,-205632
1/16/2002, ,-454644,673604,-13328,-205632
1/17/2002, ,-463977,683513,-13903.3,-205632
1/18/2002, ,-401828,615207,-7746.85,-205632
1/19/2002, ,-353123,572984,-14228.8,-205632
1/20/2002, ,-345356,559627,-8639.15,-205632
1/21/2002, ,-332798,548343,-9913.31,-205632
1/22/2002, ,-324055,541781,-12094.8,-205632
1/23/2002, ,-328503,547578,-13442.4,-205632
1/24/2002, ,-1164040,1385742,-16067.8,-205632
1/25/2002, ,-586401,750749,41283.8,-205632
1/26/2002, ,-451839,677114,-19642.3,-205632
1/27/2002, ,-521157,744636,-17847.2,-205632
1/28/2002, ,-666318,887239,-15289,-205632
1/29/2002, ,-1482500,1647341,40794.5,-205632
1/30/2002, ,-4008480,4117783,96333.9,-205632
1/31/2002, ,-4972900,5701640,221764,-950504
2/1/2002, ,-7036960,7774486,220476,-958003
2/2/2002, ,-3482760,3462525,274492,-254258
2/3/2002, ,-2455490,2510704,150422,-205632
2/4/2002, ,-1516150,2487243,-16959.8,-954132
2/5/2002, ,-1340080,2268034,26177.8,-954132
2/6/2002, ,-1066000,2036972,-12973.4,-958003
2/7/2002, ,-1966900,2254984,-14960.5,-273128
2/8/2002, ,-3023380,3199554,29463.1,-205632
